,Eccentricity,Convexicity,Aspect Ratio,RatioHilumStarch,Class
0,0.41490065119072245,0.9530201342281879,1.0217391304347827,0.03129990418396678,araruta
1,0.8343290873562622,0.9652173913043478,1.0,0.0,araruta
2,0.7488430476546352,0.9603960396039604,0.75,0.012381646030589949,araruta
3,0.5740659044599569,0.9565217391304348,1.0952380952380953,0.0015037593984962407,araruta
4,0.671590216800009,0.968421052631579,1.103448275862069,0.027689873417721517,araruta
5,0.7504264334197609,0.9583333333333334,1.3783783783783783,0.008736803785948308,araruta
6,0.7589757321605264,0.9636363636363636,0.7435897435897436,0.055693069306930694,araruta
7,0.39379029896162165,0.9484536082474226,0.9666666666666667,0.013878180416345412,araruta
8,0.6821716847474154,0.9642857142857143,0.9285714285714286,0.010137769690668054,araruta
9,0.5322825993301997,0.9753086419753086,0.9615384615384616,0.00949367088607595,araruta
10,0.6890015539354891,0.956989247311828,0.7575757575757576,0.011063829787234043,araruta
11,0.7233179465520724,0.953125,1.3235294117647058,0.0009053870529651426,araruta
12,0.6283392945841864,0.9666666666666667,1.1111111111111112,0.017226528854435832,araruta
13,0.6229754945422766,0.9624060150375939,0.8863636363636364,0.007182761372705506,araruta
14,0.5577933486308375,0.9627329192546584,1.2,0.019934462042599674,araruta
16,0.6187516996679367,0.96,0.9024390243902439,0.016363636363636365,araruta
17,0.7935126428074908,0.96,1.6206896551724137,0.010874938210578349,araruta
18,0.6478248807182254,0.9642857142857143,1.2608695652173914,0.008048289738430584,araruta
19,0.740943634203866,0.9758064516129032,1.5,0.012126865671641791,araruta
20,0.5981559779065745,0.953125,1.0769230769230769,0.007919049714034315,araruta
21,0.5546476555543022,0.9536423841059603,1.0434782608695652,0.012901195720578981,araruta
22,0.6443418741108734,0.96,1.0526315789473684,0.02480477721635278,araruta
24,0.7378157823739021,0.9666666666666667,0.9487179487179487,0.01057934508816121,araruta
25,0.5000598153845027,0.9622641509433962,0.9117647058823529,0.03656998738965952,araruta
27,0.5669222287480236,0.9609375,0.926829268292683,0.019991308126901346,araruta
28,0.7334090227244509,0.9801980198019802,1.44,0.008391608391608392,araruta
